location,highest_expenses
"LOS ANGELES PUBLIC LIBRARY",Electronic
"LA COUNTY LIBRARY",Print
"LONG BEACH PUBLIC LIBRARY",Print
"PASADENA PUBLIC LIBRARY",Print
"BEVERLY HILLS PUBLIC LIBRARY",Electronic
"GLENDALE LIBRARY, ARTS & CULTURE",Print
"SANTA MONICA PUBLIC LIBRARY",Electronic
"PALOS VERDES LIBRARY DISTRICT",Electronic
"BURBANK PUBLIC LIBRARY",Electronic
"WHITTIER PUBLIC LIBRARY",Electronic
"SANTA CLARITA PUBLIC LIBRARY",Electronic
"TORRANCE PUBLIC LIBRARY",Electronic
"REDONDO BEACH PUBLIC LIBRARY",Electronic
"ALTADENA LIBRARY DISTRICT",Print
"CERRITOS PUBLIC LIBRARY",Electronic
"ARCADIA PUBLIC LIBRARY",Print
"ALHAMBRA CIVIC CENTER LIBRARY",Print
"INGLEWOOD PUBLIC LIBRARY",Electronic
"CITY OF COMMERCE PUBLIC LIBRARY",Electronic
"MONROVIA PUBLIC LIBRARY",Print
"EL SEGUNDO PUBLIC LIBRARY",Print
"MONTEREY PARK BRUGGEMEYER LIBRARY",Print
"CALABASAS CITY LIBRARY",Electronic
"GLENDORA LIBRARY & CULTURAL CENTER",Electronic
"SANTA FE SPRINGS CITY LIBRARY",Print
"SOUTH PASADENA PUBLIC LIBRARY",Print
"PALMDALE CITY LIBRARY",Electronic
"AZUSA CITY LIBRARY",Print
"CROWELL PUBLIC LIBRARY",Print
"DOWNEY CITY LIBRARY",Electronic
"COVINA PUBLIC LIBRARY",Print
"POMONA PUBLIC LIBRARY",Electronic
"SIERRA MADRE PUBLIC LIBRARY",Print
"IRWINDALE PUBLIC LIBRARY",Print
"SIGNAL HILL PUBLIC LIBRARY",Print
