"","id","location","childrens_programs_calculated","num_of_childrens_programs_live_in_person","num_of_childrens_programs_live_virtual","num_of_young_adult_programs_calculated","num_of_young_adult_programs_live_in_person","num_of_young_adult_programs_live_virtual","num_of_adult_programs_calculated","num_of_adult_programs_live_in_person","num_of_adult_programs_live_virtual","of_the_above_programs_how_many_were_offsite","total_num_of_programs","num_recordings_of_program_content","num_views_of_recorded_program_content","num_on_demand_views_of_recorded_live_programs","county"
"1",4,"LOS ANGELES PUBLIC LIBRARY",1755,NA,NA,1598,438,1160,3361,1028,2333,NA,6714,1332,190981,NA,"Los Angeles"
"2",6,"LA COUNTY LIBRARY",1478,NA,NA,226,89,137,398,256,142,158,2114,241,61490,5596,"Los Angeles"
"3",17,"PASADENA PUBLIC LIBRARY",568,NA,NA,94,0,94,425,0,425,95,1088,64,1558,343,"Los Angeles"
"4",34,"SIERRA MADRE PUBLIC LIBRARY",296,NA,NA,18,2,16,71,2,69,19,404,139,11135,338,"Los Angeles"
"5",35,"SANTA CLARITA PUBLIC LIBRARY",293,NA,NA,178,30,148,158,24,134,99,664,191,14085,5651,"Los Angeles"
"6",38,"GLENDORA LIBRARY & CULTURAL CENTER",275,NA,NA,48,0,48,25,1,24,49,370,21,1444,0,"Los Angeles"
"7",41,"ALTADENA LIBRARY DISTRICT",246,NA,NA,86,2,84,266,6,158,7,603,135,93126,20723,"Los Angeles"
"8",46,"MONTEREY PARK BRUGGEMEYER LIBRARY",213,NA,NA,25,5,20,396,6,390,5,634,253,1060,7852,"Los Angeles"
"9",69,"AZUSA CITY LIBRARY",130,NA,NA,3,3,0,23,0,23,0,179,27,2113,1848,"Los Angeles"
"10",70,"CALABASAS CITY LIBRARY",127,NA,NA,25,2,23,60,0,60,1,214,116,7552,2594,"Los Angeles"
"11",79,"BURBANK PUBLIC LIBRARY",113,NA,NA,46,NA,NA,194,NA,NA,1,353,54,NA,NA,"Los Angeles"
"12",94,"TORRANCE PUBLIC LIBRARY",78,NA,NA,10,0,10,32,0,32,3,120,NA,NA,NA,"Los Angeles"
"13",102,"GLENDALE LIBRARY, ARTS & CULTURE",60,NA,NA,3,0,3,157,0,157,42,223,415,5598,973,"Los Angeles"
"14",107,"WHITTIER PUBLIC LIBRARY",56,NA,NA,0,0,0,117,0,117,31,189,376,117254,NA,"Los Angeles"
"15",110,"CITY OF COMMERCE PUBLIC LIBRARY",53,NA,NA,40,4,36,69,0,69,21,162,172,72717,128,"Los Angeles"
"16",114,"LONG BEACH PUBLIC LIBRARY",50,NA,NA,10,0,10,44,1,43,13,117,169,348,37206,"Los Angeles"
"17",118,"CROWELL PUBLIC LIBRARY",48,NA,NA,12,NA,NA,69,NA,NA,1,171,NA,NA,NA,"Los Angeles"
"18",122,"SANTA MONICA PUBLIC LIBRARY",47,NA,NA,2,0,2,77,0,77,2,126,NA,NA,NA,"Los Angeles"
"19",132,"SOUTH PASADENA PUBLIC LIBRARY",29,NA,NA,18,0,18,12,0,12,0,59,57,2094,1323,"Los Angeles"
"20",134,"MONROVIA PUBLIC LIBRARY",28,NA,NA,9,0,9,312,0,312,60,377,212,22862,NA,"Los Angeles"
"21",137,"ARCADIA PUBLIC LIBRARY",25,NA,NA,20,0,20,56,0,56,0,101,127,6760,1872,"Los Angeles"
"22",140,"ALHAMBRA CIVIC CENTER LIBRARY",19,NA,NA,49,0,49,59,20,39,10,127,55,6319,0,"Los Angeles"
"23",142,"COVINA PUBLIC LIBRARY",15,NA,NA,0,0,0,235,0,235,0,262,0,0,0,"Los Angeles"
"24",144,"DOWNEY CITY LIBRARY",13,NA,NA,0,0,0,1,0,1,1,14,80,1140,NA,"Los Angeles"
"25",145,"PALMDALE CITY LIBRARY",13,NA,NA,0,0,0,31,0,31,0,44,66,20432,0,"Los Angeles"
"26",153,"BEVERLY HILLS PUBLIC LIBRARY",9,NA,NA,4,0,4,37,0,37,0,50,70,6126,NA,"Los Angeles"
"27",154,"PALOS VERDES LIBRARY DISTRICT",9,NA,NA,12,0,12,40,0,40,17,61,82,9707,0,"Los Angeles"
"28",162,"EL SEGUNDO PUBLIC LIBRARY",5,NA,NA,0,0,0,30,0,30,0,35,114,22655,0,"Los Angeles"
"29",163,"SANTA FE SPRINGS CITY LIBRARY",5,0,5,0,0,0,36,0,36,0,41,146,16457,NA,"Los Angeles"
"30",164,"SIGNAL HILL PUBLIC LIBRARY",5,NA,NA,2,0,2,12,0,12,0,19,NA,NA,NA,"Los Angeles"
"31",165,"CERRITOS PUBLIC LIBRARY",4,NA,NA,3,0,3,0,0,0,0,13,39,6788,0,"Los Angeles"
"32",169,"IRWINDALE PUBLIC LIBRARY",3,0,3,0,0,0,12,2,10,0,15,0,0,0,"Los Angeles"
"33",177,"REDONDO BEACH PUBLIC LIBRARY",0,NA,NA,6,0,6,16,0,16,0,22,61,NA,NA,"Los Angeles"
"34",180,"POMONA PUBLIC LIBRARY",NA,NA,NA,0,0,0,0,0,0,0,1,8,461,0,"Los Angeles"
