MyUnknownColumn,location,childrens_program_attendance,young_adult_program_attendance_calculated,adult_program_attendance_calculated,most_popular_program
1,"LA COUNTY LIBRARY",159978,4153,13771,Children
2,"PASADENA PUBLIC LIBRARY",34486,2283,12395,Children
3,"LOS ANGELES PUBLIC LIBRARY",23884,17620,39072,Adult
4,"BURBANK PUBLIC LIBRARY",16217,372,1405,Children
5,"SANTA CLARITA PUBLIC LIBRARY",11486,1464,1254,Children
6,"TORRANCE PUBLIC LIBRARY",8287,491,831,Children
7,"MONTEREY PARK BRUGGEMEYER LIBRARY",5849,111,4195,Children
8,"GLENDORA LIBRARY & CULTURAL CENTER",4495,611,467,Children
9,"SIERRA MADRE PUBLIC LIBRARY",3615,109,311,Children
10,"ALTADENA LIBRARY DISTRICT",3086,387,1583,Children
11,"CALABASAS CITY LIBRARY",2616,96,636,Children
12,"ALHAMBRA CIVIC CENTER LIBRARY",2393,2936,1385,"Young Adult"
13,"GLENDALE LIBRARY, ARTS & CULTURE",1629,33,1559,Children
14,"AZUSA CITY LIBRARY",1621,0,851,Children
15,"LONG BEACH PUBLIC LIBRARY",1587,108,2055,Adult
16,"WHITTIER PUBLIC LIBRARY",1316,0,15850,Adult
17,"PALMDALE CITY LIBRARY",1220,0,567,Children
18,"SOUTH PASADENA PUBLIC LIBRARY",1157,422,404,Children
19,"DOWNEY CITY LIBRARY",1047,0,28,Children
20,"CITY OF COMMERCE PUBLIC LIBRARY",784,871,744,"Young Adult"
21,"CROWELL PUBLIC LIBRARY",690,138,881,Adult
22,"SANTA MONICA PUBLIC LIBRARY",669,18,1402,Adult
23,"SANTA FE SPRINGS CITY LIBRARY",500,0,0,Children
24,"COVINA PUBLIC LIBRARY",474,0,534,Adult
25,"MONROVIA PUBLIC LIBRARY",466,96,2321,Adult
26,"PALOS VERDES LIBRARY DISTRICT",345,132,753,Adult
27,"BEVERLY HILLS PUBLIC LIBRARY",195,10,890,Adult
28,"ARCADIA PUBLIC LIBRARY",188,134,197,Adult
29,"EL SEGUNDO PUBLIC LIBRARY",112,0,460,Adult
30,"CERRITOS PUBLIC LIBRARY",28,17,0,Children
31,"IRWINDALE PUBLIC LIBRARY",24,0,21,Children
32,"SIGNAL HILL PUBLIC LIBRARY",6,10,84,Adult
33,"REDONDO BEACH PUBLIC LIBRARY",0,107,219,Adult
