location,total_electronic_content_use,New_total_annual,In_Person_Or_Online
"REDONDO BEACH PUBLIC LIBRARY",89848,242530,In-Person
"ALHAMBRA CIVIC CENTER LIBRARY",68840,114019,In-Person
"INGLEWOOD PUBLIC LIBRARY",5700,4867,Online
"ALTADENA LIBRARY DISTRICT",72706,62351,Online
"ARCADIA PUBLIC LIBRARY",78629,135327,In-Person
"BURBANK PUBLIC LIBRARY",188409,283563,In-Person
"CALABASAS CITY LIBRARY",105754,38573,Online
"CERRITOS PUBLIC LIBRARY",226056,52961,Online
"CITY OF COMMERCE PUBLIC LIBRARY",20548,12981,Online
"CROWELL PUBLIC LIBRARY",51902,46543,Online
"EL SEGUNDO PUBLIC LIBRARY",121061,70594,Online
"GLENDALE LIBRARY, ARTS & CULTURE",696819,253715,Online
"GLENDORA LIBRARY & CULTURAL CENTER",112575,65839,Online
"IRWINDALE PUBLIC LIBRARY",1738,6808,In-Person
"LA COUNTY LIBRARY",6960906,3381876,Online
"LONG BEACH PUBLIC LIBRARY",1314827,756037,Online
"MONROVIA PUBLIC LIBRARY",24607,49411,In-Person
"MONTEREY PARK BRUGGEMEYER LIBRARY",15928,32426,In-Person
"PALMDALE CITY LIBRARY",16159,45123,In-Person
"PALOS VERDES LIBRARY DISTRICT",262781,292813,In-Person
"PASADENA PUBLIC LIBRARY",124831,464985,In-Person
"SANTA CLARITA PUBLIC LIBRARY",280119,377217,In-Person
"SANTA FE SPRINGS CITY LIBRARY",945096,59867,Online
"SIERRA MADRE PUBLIC LIBRARY",12519,74547,In-Person
"SOUTH PASADENA PUBLIC LIBRARY",59210,149943,In-Person
"WHITTIER PUBLIC LIBRARY",696960,55363,Online
