"","Location","Children's Program Attendance","Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual","Young Adult Program Attendance (calculated)","Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual","Adult Program Attendance (calculated)","Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Attendance at offsite programs","Total Program Attendance","Total Average Attendance per Library Program","Library Program Attendance per 1,000 Served","Program Attendance per Capita"
"1","ANAHEIM PUBLIC LIBRARY",187068,NA,NA,8066,1402,6664,21113,10951,10162,53619,354706,238.85926,1361.94378,1.0035
"2","SAN BERNARDINO COUNTY LIBRARY",180126,NA,NA,12718,2200,10518,42,42,NA,7021,193304,45.87186,317.66827,0.15203
"3","LA COUNTY LIBRARY",159978,NA,NA,4153,539,3614,13771,2868,10903,2066,178676,84.52034,76.57642,0.05352
"4","SAN JOSE PUBLIC LIBRARY",84167,NA,NA,6525,NA,NA,29489,NA,NA,32369,124165,20.06545,180.11138,0.12057
"5","SANTA CLARA CITY LIBRARY",62307,NA,NA,7004,NA,NA,19488,NA,NA,430,88799,141.39968,657.73627,0.67917
"6","FOLSOM PUBLIC LIBRARY",57111,NA,NA,48,NA,NA,102,NA,NA,6,57261,336.82941,1762.31072,0.69573
"7","SAN DIEGO PUBLIC LIBRARY",56896,NA,NA,NA,NA,NA,21849,NA,NA,NA,78745,22.27581,115.4375,0.05581
"8","PALO ALTO CITY LIBRARY",34878,NA,NA,875,82,793,3261,0,3261,0,39014,76.05068,700.78316,0.57664
"9","PASADENA PUBLIC LIBRARY",34486,NA,NA,2283,0,2283,12395,0,12395,3893,49306,45.31801,148.62396,0.33933
"10","RIVERSIDE PUBLIC LIBRARY",31529,NA,NA,4589,0,4589,4726,0,4726,0,42691,51.18825,129.52524,0.13164
"11","RIVERSIDE COUNTY LIBRARY SYSTEM",31019,NA,NA,2028,NA,NA,2288,NA,NA,5439,35335,20.65167,107.52508,0.02585
"12","MURRIETA PUBLIC LIBRARY",30296,NA,NA,295,NA,NA,1936,NA,NA,0,32527,240.94074,1050.03712,0.28242
"13","ORANGE COUNTY PUBLIC LIBRARIES",27053,NA,NA,1836,NA,NA,8482,NA,NA,912,71966,40.88977,182.83116,0.04457
"14","SANTA CLARA COUNTY LIBRARY",26565,NA,NA,4383,0,4383,17256,0,17256,0,48688,50.14212,95.78784,0.11103
"15","SONOMA COUNTY LIBRARY",25900,NA,NA,10211,NA,NA,7865,NA,NA,12123,43976,23.26772,167.9454,0.09082
"16","MADERA COUNTY LIBRARY",25627,NA,NA,125,0,125,747,50,697,3880,27539,115.22594,1486.74621,0.17378
"17","LOS ANGELES PUBLIC LIBRARY",23884,NA,NA,17620,5558,12062,39072,15488,23584,NA,80576,12.00119,29.87934,0.02054
"18","MERCED COUNTY LIBRARY",22084,0,22084,18158,0,18158,413,0,413,0,40655,94.54651,1351.29296,0.14273
"19","PLACENTIA LIBRARY DISTRICT",21665,NA,NA,165,0,165,859,0,859,0,22727,87.74903,406.12938,0.44412
"20","CONTRA COSTA COUNTY LIBRARY",20253,NA,NA,2257,75,2182,15589,1014,14575,4937,38099,43.34357,108.34106,0.0365
"21","SAN MATEO COUNTY LIBRARIES",17294,NA,NA,3854,NA,3854,13650,690,12960,0,34798,29.79281,176.69161,0.12411
"22","REDWOOD CITY PUBLIC LIBRARY",16959,NA,NA,458,0,458,1896,525,1371,3209,35390,29.7395,582.5898,0.41546
"23","NAPA COUNTY LIBRARY",16903,NA,NA,13,NA,NA,1568,NA,NA,NA,18484,85.17972,386.85643,0.14049
"24","SACRAMENTO PUBLIC LIBRARY",16867,NA,NA,3073,200,2873,5568,189,5379,0,26636,20.76072,38.48721,0.01801
"25","LODI PUBLIC LIBRARY",16550,NA,NA,91,91,0,4316,4316,0,0,23824,34.77956,930.33427,0.34653
"26","BURBANK PUBLIC LIBRARY",16217,NA,NA,372,NA,NA,1405,NA,NA,375,17994,50.9745,328.80767,0.17307
"27","KERN COUNTY LIBRARY",15882,NA,NA,2038,314,1724,4588,298,4290,498,36264,13.89425,424.2793,0.03967
"28","RICHMOND PUBLIC LIBRARY",14910,NA,NA,136,NA,NA,1191,NA,NA,0,16237,43.64785,694.6013,0.14743
"29","A. K. SMILEY PUBLIC LIBRARY",14415,NA,NA,0,0,0,3119,173,2946,0,18842,42.05804,363.82243,0.26481
"30","FRESNO COUNTY PUBLIC LIBRARY",14045,NA,NA,2191,908,1283,6431,3698,2733,936,22667,25.75795,130.17136,0.02261
"31","ALAMEDA COUNTY LIBRARY",12918,NA,NA,2027,1427,600,1973,0,1973,0,24646,18.47526,68.33014,0.04216
"32","SAN FRANCISCO PUBLIC LIBRARY",12686,NA,NA,3937,0,3937,44397,0,44397,0,61775,40.88352,113.77764,0.0706
"33","PORTERVILLE PUBLIC LIBRARY",12501,NA,NA,308,307,1,1942,11,1931,2287,15168,13.45874,1355.37485,0.25462
"34","SHASTA PUBLIC LIBRARIES",12432,NA,NA,1487,NA,NA,4170,NA,NA,40,18089,22.03289,297.76622,0.10174
"35","MOUNTAIN VIEW PUBLIC LIBRARY",12104,0,12104,702,0,702,3401,0,3401,0,16207,48.96375,279.69144,0.1957
"36","SOLANO COUNTY LIBRARY",11628,NA,NA,1513,NA,NA,1753,NA,NA,206,14894,23.02009,97.64316,0.0362
"37","SANTA CLARITA PUBLIC LIBRARY",11486,NA,NA,1464,91,1373,1254,258,996,6075,16026,24.13554,165.46384,0.07233
"38","TORRANCE PUBLIC LIBRARY",8287,NA,NA,491,0,491,831,0,831,81,9609,80.075,103.08869,0.06635
"39","NEVADA COUNTY LIBRARY",8261,NA,NA,371,NA,NA,4017,NA,NA,NA,14510,16.12222,275.69303,0.14887
"40","ALAMEDA FREE LIBRARY",7965,NA,NA,679,NA,NA,2890,NA,NA,0,17712,19.99097,228.69834,0.21898
"41","YUBA COUNTY LIBRARY",7735,NA,NA,0,0,NA,0,0,NA,NA,8110,55.17007,214.57865,0.10213
"42","UPLAND PUBLIC LIBRARY",7528,NA,NA,420,122,298,158,76,82,0,8106,51.63057,298.15721,0.10324
"43","WOODLAND PUBLIC LIBRARY",7461,NA,NA,1040,673,367,330,90,240,150,8831,38.22944,240.1229,0.14482
"44","VENTURA COUNTY LIBRARY",7346,NA,NA,348,71,277,34,0,34,1186,7728,8.71251,54.95389,0.03164
"45","SANTA BARBARA PUBLIC LIBRARY",6899,NA,NA,1558,185,1373,4863,40,4823,4314,15541,16.65702,254.64108,0.1255
"46","SANTA CRUZ PUBLIC LIBRARIES",6251,NA,NA,1111,NA,NA,5217,NA,NA,NA,12579,14.34322,75.09761,0.05997
"47","SOUTH SAN FRANCISCO PUBLIC LIBRARY",6117,NA,NA,198,187,11,3356,1439,1917,292,9746,12.79003,309.279,0.14517
"48","STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY",5903,NA,NA,522,NA,NA,730,NA,NA,7155,7155,23.85,53.00471,0.01001
"49","MONTEREY PARK BRUGGEMEYER LIBRARY",5849,NA,NA,111,30,81,4195,145,4050,2231,10155,16.01735,254.08462,0.16818
"50","SAN BRUNO PUBLIC LIBRARY",5530,NA,NA,83,NA,NA,96,NA,NA,0,5936,33.16201,283.95121,0.1321
"51","MONO COUNTY FREE LIBRARY",5248,48,5200,1676,1676,NA,280,234,46,0,7204,40.70056,441.90897,0.54186
"52","SAN BENITO COUNTY FREE LIBRARY",5216,NA,NA,382,0,382,624,0,624,0,7123,18.8939,148.13659,0.11606
"53","SUNNYVALE PUBLIC LIBRARY",4939,NA,NA,669,0,669,3478,0,3478,49,9400,25,86.54422,0.06111
"54","TEHAMA COUNTY LIBRARY",4863,NA,NA,1063,NA,NA,0,NA,NA,567,6966,16.01379,456.33803,0.10659
"55","CHULA VISTA PUBLIC LIBRARY",4796,NA,NA,1898,0,0,3820,0,0,0,13157,143.01087,84.44205,0.04794
"56","COLTON PUBLIC LIBRARY",4769,NA,NA,4438,0,4438,2706,80,2626,0,19570,203.85417,351.65586,0.36108
"57","SALINAS PUBLIC LIBRARY",4609,NA,NA,110,0,110,1114,0,1114,201,5833,28.04327,119.5042,0.03641
"58","EL CENTRO PUBLIC LIBRARY",4512,NA,NA,66,66,0,90,90,0,422,4668,41.67857,740.59971,0.10374
"59","GLENDORA LIBRARY & CULTURAL CENTER",4495,NA,NA,611,0,611,467,21,446,2083,5870,15.86486,224.81808,0.11389
"60","TULARE COUNTY FREE LIBRARY",4383,NA,NA,87,0,87,1063,128,935,3010,5533,17.56508,137.79106,0.01568
"61","SAN MATEO PUBLIC LIBRARY",4179,NA,NA,593,209,384,914,64,850,0,5686,14.76883,85.54364,0.05322
"62","CAMARENA MEMORIAL PUBLIC LIBRARY",4085,NA,NA,67,0,67,2251,0,2251,0,6443,17.84765,577.79571,0.15915
"63","LIVERMORE PUBLIC LIBRARY",4052,NA,NA,179,NA,NA,2140,NA,NA,0,6371,20.75244,81.73188,0.06985
"64","SAN BERNARDINO PUBLIC LIBRARY",3970,NA,NA,0,0,0,0,0,0,0,4546,113.65,226.85763,0.02102
"65","SUTTER COUNTY LIBRARY",3933,NA,NA,732,0,732,4062,3854,208,4062,8727,9.09063,198.02587,0.08616
"66","EL DORADO COUNTY LIBRARY",3853,NA,NA,68,NA,NA,1293,NA,NA,0,5214,46.55357,51.18992,0.02669
"67","BURLINGAME PUBLIC LIBRARY",3742,NA,NA,467,0,467,1538,0,1538,0,5747,16.09804,209.27099,0.15391
"68","ONTARIO CITY LIBRARY",3636,NA,NA,0,0,0,0,0,0,108,8111,172.57447,70.0583,0.04456
"69","SIERRA MADRE PUBLIC LIBRARY",3615,NA,NA,109,20,89,311,51,260,170,4205,10.40842,478.54785,0.39465
"70","OCEANSIDE PUBLIC LIBRARY",3487,NA,NA,446,NA,NA,2722,NA,NA,135,6655,13.80705,55.48423,0.03765
"71","MILL VALLEY PUBLIC LIBRARY",3452,NA,NA,220,0,220,3269,0,3269,0,6941,23.37037,641.7938,0.47704
"72","COLUSA COUNTY FREE LIBRARY",3382,NA,NA,0,0,0,101,101,NA,122,4336,2.64068,897.90847,0.19489
"73","PLEASANTON PUBLIC LIBRARY",3330,NA,NA,49,0,49,191,28,163,0,4894,50.97917,89.42079,0.06245
"74","ALTADENA LIBRARY DISTRICT",3086,NA,NA,387,23,364,1583,150,1085,134,5192,8.61028,419.48776,0.12052
"75","VICTORVILLE CITY LIBRARY",3077,NA,NA,540,0,540,404,0,404,0,4112,39.53846,99.56416,0.03233
"76","MENLO PARK PUBLIC LIBRARY",2922,NA,NA,563,0,563,4151,0,4151,0,7636,23.06949,309.19987,0.21927
"77","HUNTINGTON BEACH PUBLIC LIBRARY",2901,NA,NA,1644,1389,255,1080,366,714,0,5625,37.25166,38.82845,0.02857
"78","MENDOCINO COUNTY LIBRARY",2707,NA,NA,646,42,604,1540,57,1483,339,4893,9.28463,115.14567,0.05646
"79","MORENO VALLEY PUBLIC LIBRARY",2697,NA,NA,765,0,765,988,0,988,3988,4450,12.25895,92.33515,0.02125
"80","THOUSAND OAKS LIBRARY",2630,NA,NA,663,0,663,853,0,853,0,4146,12.26627,107.18995,0.03306
"81","CALABASAS CITY LIBRARY",2616,NA,NA,96,34,62,636,0,636,120,3618,16.90654,57.2052,0.14864
"82","SIMI VALLEY PUBLIC LIBRARY",2445,NA,NA,128,0,128,1157,NA,NA,1470,3730,20.72222,108.487,0.02997
"83","IMPERIAL COUNTY LIBRARY",2426,NA,NA,0,0,0,72,0,72,0,2498,3.20256,422.67343,0.04719
"84","ALHAMBRA CIVIC CENTER LIBRARY",2393,NA,NA,2936,0,2936,1385,967,418,551,6714,52.86614,81.36505,0.07784
"85","CORONA PUBLIC LIBRARY",2366,NA,NA,852,170,682,2078,1093,985,4000,12766,22.35727,94.93073,0.07534
"86","DALY CITY PUBLIC LIBRARY",2209,NA,NA,1119,660,459,446,0,446,3990,3774,15.15663,99.09934,0.03475
"87","BENICIA PUBLIC LIBRARY",2197,NA,NA,710,11,699,1885,0,1885,0,4792,15.40836,267.08282,0.17675
"88","BEAUMONT LIBRARY DISTRICT",2192,NA,NA,155,107,48,189,50,139,864,3324,26.80645,145.88545,0.0548
"89","ESCONDIDO PUBLIC LIBRARY",2175,NA,NA,86,0,43,3214,0,3214,1313,5475,15.42254,76.86152,0.03609
"90","PACIFIC GROVE PUBLIC LIBRARY",2161,NA,NA,0,0,0,318,318,0,1084,4132,25.19512,237.51221,0.26596
"91","BUENA PARK LIBRARY DISTRICT",2139,1819,320,12,0,12,629,333,296,1969,2818,35.225,109.71811,0.03452
"92","HUMBOLDT COUNTY LIBRARY",2138,NA,NA,36,0,36,1933,5,1928,55,4107,13.16346,36.16049,0.03139
"93","STANISLAUS COUNTY FREE LIBRARY",2055,NA,NA,0,0,0,1702,50,1652,0,3757,19.77368,8.19411,0.00676
"94","ROSEVILLE PUBLIC LIBRARY",2025,NA,NA,0,0,0,553,0,553,93,2578,12.63725,24.25668,0.01755
"95","YOLO COUNTY LIBRARY",2013,NA,NA,738,0,738,1702,0,1702,0,4453,13.95925,93.00528,0.02845
"96","GOLETA VALLEY LIBRARY",1943,NA,NA,311,0,311,1666,254,1412,254,4041,8.00198,201.58635,0.03919
"97","PASO ROBLES CITY LIBRARY",1900,NA,NA,27,0,27,171,0,171,0,2098,7.97719,99.89525,0.06752
"98","BERKELEY PUBLIC LIBRARY",1822,NA,NA,201,0,201,4018,0,4018,167,6041,20.54762,41.93945,0.05174
"99","SAN LEANDRO PUBLIC LIBRARY",1644,NA,NA,294,2,292,859,0,859,21,3279,10.68078,127.19656,0.03756
"100","CARLSBAD CITY LIBRARY",1637,NA,NA,204,0,204,5437,0,5437,0,7277,22.59938,72.46204,0.063
"101","GLENDALE LIBRARY, ARTS & CULTURE",1629,NA,NA,33,0,33,1559,0,1559,5144,3336,14.95964,11.7199,0.01637
"102","AZUSA CITY LIBRARY",1621,NA,NA,0,0,0,851,0,851,0,2951,16.48603,54.93401,0.05951
"103","LONG BEACH PUBLIC LIBRARY",1587,NA,NA,108,0,108,2055,7,2048,3007,6757,57.75214,20.50533,0.01445
"104","AMADOR COUNTY LIBRARY",1580,NA,NA,0,0,0,47,0,47,NA,1627,25.03077,56.10345,0.04353
"105","ORLAND FREE LIBRARY",1550,NA,NA,0,0,0,46,0,46,NA,1596,122.76923,145.89999,0.09983
"106","SAN LUIS OBISPO CITY-COUNTY LIBRARY",1547,18,1529,312,0,312,870,45,825,25,2729,20.21481,46.85542,0.01137
"107","BUTTE COUNTY LIBRARY",1525,1510,15,1639,NA,NA,229,NA,NA,115,3393,30.84545,34.36611,0.01674
"108","LAKE COUNTY LIBRARY",1511,NA,NA,4,0,4,539,15,524,1359,2054,9.29412,66.85763,0.03212
"109","ORANGE PUBLIC LIBRARY",1502,NA,NA,0,0,0,483,40,443,0,1985,22.05556,32.46435,0.01445
"110","SAN RAFAEL PUBLIC LIBRARY",1404,NA,NA,31,0,31,22059,0,22059,0,23494,91.77344,647.52088,0.3981
"111","MARIN COUNTY FREE LIBRARY",1403,NA,NA,287,NA,NA,8687,NA,NA,NA,10377,52.67513,156.50639,0.07388
"112","HEMET PUBLIC LIBRARY",1335,NA,NA,0,0,0,0,0,0,0,1335,1.48829,11.4899,0.01579
"113","WHITTIER PUBLIC LIBRARY",1316,NA,NA,0,0,0,15850,0,15850,396,22197,117.44444,276.88105,0.25752
"114","MONTEREY COUNTY FREE LIBRARIES",1258,NA,NA,59,37,22,372,220,152,549,1709,13.0458,14.42535,0.00746
"115","PALMDALE CITY LIBRARY",1220,NA,NA,0,0,0,567,0,567,0,1787,40.61364,44.0343,0.01145
"116","SOUTH PASADENA PUBLIC LIBRARY",1157,NA,NA,422,0,422,404,0,404,0,1983,33.61017,116.22319,0.07726
"117","CAMARILLO PUBLIC LIBRARY",1114,NA,NA,123,NA,NA,698,NA,NA,0,1935,14.22794,20.2017,0.02776
"118","DOWNEY CITY LIBRARY",1047,NA,NA,0,0,0,28,0,28,81,1075,76.78571,12.00782,0.00965
"119","SANTA ANA PUBLIC LIBRARY",886,NA,NA,269,0,269,150,0,150,0,1597,6.85408,8.52402,0.00482
"120","HAYWARD PUBLIC LIBRARY",885,NA,NA,0,NA,NA,241,NA,NA,0,1153,6.47753,8.78389,0.00729
"121","LASSEN LIBRARY DISTRICT",841,NA,NA,0,0,0,152,152,0,91,993,8.71053,175.10139,0.07801
"122","CITY OF COMMERCE PUBLIC LIBRARY",784,NA,NA,871,682,189,744,0,744,1754,2399,14.80864,71.77692,0.18754
"123","OAKLAND PUBLIC LIBRARY",783,NA,NA,196,15,181,1440,1269,171,164,2906,26.90741,7.21507,0.00633
"124","PLUMAS COUNTY LIBRARY",765,NA,NA,57,57,0,106,92,14,337,928,11.31707,97.8903,0.04356
"125","CROWELL PUBLIC LIBRARY",690,NA,NA,138,NA,NA,881,NA,NA,169,2955,17.2807,103.85183,0.22799
"126","ST. HELENA PUBLIC LIBRARY",683,NA,NA,0,0,0,103,0,103,400,786,23.11765,120.53366,0.12949
"127","SANTA MONICA PUBLIC LIBRARY",669,NA,NA,18,0,18,1402,0,1402,51,2089,16.57937,25.64701,0.02247
"128","LINCOLN PUBLIC LIBRARY",643,NA,NA,0,0,0,1041,0,1041,0,1684,7.72477,89.54113,0.03394
"129","RANCHO CUCAMONGA PUBLIC LIBRARY",585,NA,NA,127,0,127,547,0,547,0,1259,8.17532,3.94508,0.00719
"130","LOOMIS LIBRARY & COMMUNITY LEARNING CENTER",537,NA,NA,0,0,0,41,20,21,0,728,38.31579,317.90393,0.10693
"131","SANTA FE SPRINGS CITY LIBRARY",500,0,500,0,0,0,0,0,NA,0,500,12.19512,11.12075,0.02758
"132","IMPERIAL PUBLIC LIBRARY",483,NA,NA,30,30,0,0,0,0,130,513,10.26,66.49384,0.02528
"133","COVINA PUBLIC LIBRARY",474,NA,NA,0,0,0,534,0,534,0,1171,4.46947,35.40867,0.02398
"134","MONROVIA PUBLIC LIBRARY",466,NA,NA,96,0,96,2321,0,2321,4193,2942,7.80371,38.90762,0.07646
"135","WATSONVILLE PUBLIC LIBRARY",428,NA,NA,15,0,15,676,0,264,412,1119,6.2514,27.44598,0.02178
"136","SANTA MARIA PUBLIC LIBRARY",411,NA,NA,63,0,63,182,0,182,122,656,7.54023,14.99703,0.00414
"137","LARKSPUR PUBLIC LIBRARY",394,NA,NA,86,0,86,1463,0,1463,0,2061,13.74,294.51272,0.16902
"138","BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT",380,NA,NA,0,0,0,13,12,1,0,393,15.11538,43.06849,0.01281
"139","YORBA LINDA PUBLIC LIBRARY",349,NA,NA,190,179,11,516,302,214,0,1055,43.95833,21.05578,0.01555
"140","CALAVERAS COUNTY LIBRARY",348,NA,NA,18,18,0,176,32,144,476,542,5.26214,20.06961,0.01203
"141","SAN DIEGO COUNTY LIBRARY",348,NA,NA,364,0,364,452,0,452,0,1164,27.06977,2.78397,0.00106
"142","PALOS VERDES LIBRARY DISTRICT",345,NA,NA,132,0,132,753,0,753,312,1230,20.16393,27.12298,0.01838
"143","DEL NORTE COUNTY LIBRARY DISTRICT",344,NA,NA,18,NA,NA,89,NA,NA,72,771,15.11765,29.20455,0.02861
"144","PLACER COUNTY LIBRARY",331,NA,NA,0,0,0,75,0,75,500,906,39.3913,8.60415,0.00449
"145","MISSION VIEJO LIBRARY",288,0,288,0,0,0,2336,0,2336,149,2624,13.8836,14.63363,0.02788
"146","OXNARD PUBLIC LIBRARY",288,NA,NA,135,0,135,97,0,97,0,1040,4.68468,12.36711,0.00508
"147","TUOLUMNE COUNTY LIBRARY",244,NA,NA,0,NA,NA,0,NA,NA,0,244,24.4,7.8967,0.00456
"148","BANNING LIBRARY DISTRICT",214,NA,NA,103,NA,NA,39,NA,NA,428,837,6.2,39.64194,0.02398
"149","RANCHO MIRAGE PUBLIC LIBRARY",202,NA,NA,0,0,0,3198,0,3198,0,3400,97.14286,71.6589,0.18086
"150","BEVERLY HILLS PUBLIC LIBRARY",195,NA,NA,10,0,10,890,0,890,0,1095,21.9,21.73568,0.03279
"151","ARCADIA PUBLIC LIBRARY",188,NA,NA,134,0,134,197,0,197,0,519,5.13861,20.69048,0.009
"152","BELVEDERE-TIBURON LIBRARY",154,NA,NA,149,0,149,100,17,83,17,403,8.39583,55.28879,0.03498
"153","INYO COUNTY FREE LIBRARY",143,143,NA,30,30,NA,0,0,0,0,187,3.2807,16.6741,0.01007
"154","SAN ANSELMO PUBLIC LIBRARY",135,NA,NA,45,0,45,941,0,941,0,1186,12.35417,151.25622,0.09347
"155","MOORPARK CITY LIBRARY",128,NA,NA,22,0,11,518,0,259,92,668,4.98507,62.58197,0.01857
"156","MODOC COUNTY LIBRARY",117,NA,NA,0,0,0,0,0,0,0,117,11.7,17.78927,0.01233
"157","EL SEGUNDO PUBLIC LIBRARY",112,NA,NA,0,0,0,460,0,460,0,572,16.34286,38.72977,0.03433
"158","PALM SPRINGS PUBLIC LIBRARY",107,NA,NA,139,0,139,663,0,663,0,909,9,38.60692,0.01904
"159","COALINGA-HURON LIBRARY DISTRICT",105,NA,NA,0,0,0,0,0,0,173,310,3.33333,79.3854,0.01284
"160","TULARE PUBLIC LIBRARY",98,NA,NA,0,0,0,184,4,180,0,282,10.07143,20.17167,0.00407
"161","TRINITY COUNTY FREE LIBRARY",93,NA,NA,0,0,0,7,0,7,0,100,9.09091,14.9723,0.00739
"162","ALPINE COUNTY LIBRARY/ARCHIVES",85,NA,NA,0,0,0,65,0,65,55,335,4.78571,99.40653,0.29515
"163","HARRISON MEMORIAL LIBRARY",56,NA,NA,7,0,7,1026,0,1026,0,2615,124.52381,273.90803,0.65001
"164","NATIONAL CITY PUBLIC LIBRARY",47,NA,47,124,9,115,697,NA,697,0,868,2.33333,38.59322,0.01383
"165","PALO VERDE VALLEY LIBRARY DISTRICT",33,NA,NA,0,NA,NA,0,NA,NA,0,33,16.5,2.75505,0.00148
"166","KINGS COUNTY LIBRARY",32,NA,NA,0,NA,NA,14,NA,7,1501,3593,30.44915,183.63488,0.02355
"167","CERRITOS PUBLIC LIBRARY",28,NA,NA,17,0,17,0,0,0,0,105,8.07692,9.97625,0.0021
"168","IRWINDALE PUBLIC LIBRARY",24,NA,24,0,0,0,21,5,16,0,45,3,6.25869,0.03123
"169","MONTEREY PUBLIC LIBRARY",20,NA,NA,0,0,0,1830,0,1830,0,1873,23.4125,58.04872,0.06599
"170","SIGNAL HILL PUBLIC LIBRARY",6,NA,NA,10,0,10,84,0,84,0,100,5.26316,43.29004,0.00861
"171","NEWPORT BEACH PUBLIC LIBRARY",4,NA,NA,186,0,186,6631,0,6631,0,6821,15.97424,61.47149,0.07944
"172","BRAWLEY PUBLIC LIBRARY",0,NA,NA,0,NA,NA,1,NA,NA,0,1,1,0.17671,4e-05
"173","LOMPOC PUBLIC LIBRARY",0,NA,NA,0,NA,NA,0,NA,NA,1813,1813,75.54167,164.02787,0.03258
"174","LOS GATOS LIBRARY",0,NA,NA,0,0,NA,0,0,NA,0,4980,16.6,155.35313,0.1615
"175","REDONDO BEACH PUBLIC LIBRARY",0,NA,NA,107,0,107,219,0,219,0,326,14.81818,5.15823,0.0049
"176","SAUSALITO PUBLIC LIBRARY",0,NA,NA,0,NA,NA,647,NA,NA,0,689,20.87879,133.55301,0.09368
"177","CORONADO PUBLIC LIBRARY",NA,NA,NA,4110,NA,NA,6659,NA,NA,NA,15188,30.31537,523.66997,0.67934
"178","POMONA PUBLIC LIBRARY",NA,NA,NA,0,0,0,0,0,0,0,412,412,9.54101,0.00272
"179","Median",2209,143,410,308,107,255,1007,114.5,850,429,4451.5,20.18937,98.49482,0.04984
"180","Total",1681687,3538,42111,172012,19928,107724,520131,52887,322379,211158,2674050,NA,NA,NA
"181","Average",9834.4269005848,707.6,4211.1,1293.3233082707,486.0487804878,1110.5567010309,3210.6851851852,944.41071428571,2620.9674796748,2455.3255813953,15022.752808989,36.924461460674,199.17594724719,0.10891140449438
"182","Maximum",187068,1819,22084,18158,5558,18158,44397,15488,44397,53619,354706,412,1762.31072,1.0035
"183","Minimum",4,18,15,4,2,1,1,4,1,6,1,1,0.17671,4e-05
